State,Crime,Sentence_mean,Seriousness
New South Wales,01 Homicide and related offences,21.6,Very Serious
New South Wales,02 Acts intended to cause injury,3.1,Very Serious
New South Wales,03 Sexual assault and related offences,10.1,Very Serious
New South Wales,04 Dangerous/negligent acts,2.4,Very Serious
New South Wales,05 Abduction/harassment ,6.1,Very Serious
New South Wales,06 Robbery/extortion,6.3,Very Serious
New South Wales,07 Unlawful entry with intent,2.9,Very Serious
New South Wales,08 Theft,1.7,Less Serious
New South Wales,09 Fraud/deception,3.3,Less Serious
New South Wales,10 Illicit drug offences,8.4,Less Serious
New South Wales,11 Weapons/explosives ,4.2,Less Serious
New South Wales,12 Property damage and environmental pollution,3.1,Less Serious
New South Wales,13 Public order offences,2.1,Less Serious
New South Wales,14 Traffic and vehicle regulatory offences,0.9,Less Serious
New South Wales,15 Offences against justice,1.5,Less Serious
New South Wales,16 Miscellaneous offences,8.7,Less Serious
Victoria,01 Homicide and related offences,17,Very Serious
Victoria,02 Acts intended to cause injury,3.6,Very Serious
Victoria,03 Sexual assault and related offences,8.7,Very Serious
Victoria,04 Dangerous/negligent acts,2.1,Very Serious
Victoria,05 Abduction/harassment ,5,Very Serious
Victoria,06 Robbery/extortion,4.6,Very Serious
Victoria,07 Unlawful entry with intent,3.6,Very Serious
Victoria,08 Theft,1.8,Less Serious
Victoria,09 Fraud/deception,3.3,Less Serious
Victoria,10 Illicit drug offences,8,Less Serious
Victoria,11 Weapons/explosives ,2.2,Less Serious
Victoria,12 Property damage and environmental pollution,4.8,Less Serious
Victoria,13 Public order offences,1.4,Less Serious
Victoria,14 Traffic and vehicle regulatory offences,0.9,Less Serious
Victoria,15 Offences against justice,2.3,Less Serious
Victoria,16 Miscellaneous offences,3,Less Serious
Queensland,01 Homicide and related offences,11.5,Very Serious
Queensland,02 Acts intended to cause injury,3.3,Very Serious
Queensland,03 Sexual assault and related offences,7.2,Very Serious
Queensland,04 Dangerous/negligent acts,3.4,Very Serious
Queensland,05 Abduction/harassment ,3.8,Very Serious
Queensland,06 Robbery/extortion,5.5,Very Serious
Queensland,07 Unlawful entry with intent,3.5,Very Serious
Queensland,08 Theft,2,Less Serious
Queensland,09 Fraud/deception,3.7,Less Serious
Queensland,10 Illicit drug offences,6,Less Serious
Queensland,11 Weapons/explosives ,2.5,Less Serious
Queensland,12 Property damage and environmental pollution,3.1,Less Serious
Queensland,13 Public order offences,1.1,Less Serious
Queensland,14 Traffic and vehicle regulatory offences,1.3,Less Serious
Queensland,15 Offences against justice,1.2,Less Serious
Queensland,16 Miscellaneous offences,,Less Serious
South Australia,01 Homicide and related offences,9.2,Very Serious
South Australia,02 Acts intended to cause injury,4.5,Very Serious
South Australia,03 Sexual assault and related offences,9.5,Very Serious
South Australia,04 Dangerous/negligent acts,4.1,Very Serious
South Australia,05 Abduction/harassment ,9.6,Very Serious
South Australia,06 Robbery/extortion,6.7,Very Serious
South Australia,07 Unlawful entry with intent,5.1,Very Serious
South Australia,08 Theft,3.1,Less Serious
South Australia,09 Fraud/deception,4.9,Less Serious
South Australia,10 Illicit drug offences,6.4,Less Serious
South Australia,11 Weapons/explosives ,5.4,Less Serious
South Australia,12 Property damage and environmental pollution,4,Less Serious
South Australia,13 Public order offences,4.8,Less Serious
South Australia,14 Traffic and vehicle regulatory offences,0.9,Less Serious
South Australia,15 Offences against justice,2.2,Less Serious
South Australia,16 Miscellaneous offences,1.9,Less Serious
Western Australia,01 Homicide and related offences,9,Very Serious
Western Australia,02 Acts intended to cause injury,2.6,Very Serious
Western Australia,03 Sexual assault and related offences,7.2,Very Serious
Western Australia,04 Dangerous/negligent acts,2.8,Very Serious
Western Australia,05 Abduction/harassment ,3.1,Very Serious
Western Australia,06 Robbery/extortion,4.3,Very Serious
Western Australia,07 Unlawful entry with intent,2.9,Very Serious
Western Australia,08 Theft,2.5,Less Serious
Western Australia,09 Fraud/deception,2.9,Less Serious
Western Australia,10 Illicit drug offences,7,Less Serious
Western Australia,11 Weapons/explosives ,2.2,Less Serious
Western Australia,12 Property damage and environmental pollution,3.2,Less Serious
Western Australia,13 Public order offences,3.8,Less Serious
Western Australia,14 Traffic and vehicle regulatory offences,0.9,Less Serious
Western Australia,15 Offences against justice,1.4,Less Serious
Western Australia,16 Miscellaneous offences,4.1,Less Serious
Tasmania,01 Homicide and related offences,22.4,Very Serious
Tasmania,02 Acts intended to cause injury,3.3,Very Serious
Tasmania,03 Sexual assault and related offences,7.1,Very Serious
Tasmania,04 Dangerous/negligent acts,2.2,Very Serious
Tasmania,05 Abduction/harassment ,0,Very Serious
Tasmania,06 Robbery/extortion,4.6,Very Serious
